LOCAL_WELL,OWNERS_NAM,DATE_COMPL,GEOLOGIC_U,WATER_LEVE,DATE_MEASU,PUMP_SETTI,PUMP_RATE,YIELD_MEAS,PUMP_HOURS,PUMP_DOWN_,AQUIFER_NA,X,Y
8317Z,CIRCLE K,11/99,112SESC,"8.72",11/18/99,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683479","3374698"
8318Z,CIRCLE K,11/99,112SESC,"7.05",11/18/99,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683506","3374699"
8319Z,CIRCLE K,11/99,112SESC,"6.71",11/18/99,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683532","3374699"
8321Z,CIRCLE K,11/99,112SESC,"6.42",11/18/99,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683505","3374760"
8322Z,CIRCLE K,11/99,112SESC,"6.42",11/18/99,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683505","3374730"
8323Z,CIRCLE K,11/99,112SESC,"6.52",11/18/99,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683505","3374730"
8324Z,CIRCLE K,11/99,112SESC,"6.58",11/18/99,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683531","3374761"
8325Z,EXXON CHEMICAL,07/99,112MRVAC,"3.00",08/17/99,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675138","3374222"
6975Z,"TUGWELL, MYRT",11/92,11204BR,"65.00",11/26/92,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"680190","3368761"
6980Z,EXXON CO USA,01/93,112MRVAC,"3.20",01/21/93,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675106","3372897"
7117Z,DIXIE ELECTRIC,10/92,112SESC,"3.00",10/23/92,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683851","3368483"
6892Z,EXXON CO USA,09/92,112SESC,"5.00",09/15/92,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686569","3368714"
6893Z,EXXON CO USA,09/92,112SESC,"5.00",09/16/92,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"679765","3370232"
6894Z,EXXON CO USA,09/92,112SESC,"5.00",09/16/92,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"679765","3370232"
6899Z,"SMITH, LUZIANA",10/92,112SLBR,"33.50",10/22/92,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"687699","3362019"
7085Z,"JOLISSAINT, GEO",,112SLBR,"0.00",,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"691384","3362053"
7087Z,"CHOI, GENE",04/93,11204BR,"32.00",04/22/93,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"691902","3375029"
6227Z,MOTIVA ENTERPRI,07/89,112SESC,"2.30",07/20/89,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686577","3368283"
6228Z,MOTIVA ENTERPRI,07/89,112SESC,"2.30",07/20/89,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686577","3368283"
6229Z,STAR ENTERPRISE,07/89,112SESC,"2.30",07/20/89,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686577","3368283"
6230Z,MOTIVA ENTERPRI,07/89,112SESC,"2.30",07/20/89,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686577","3368283"
6379Z,"WATTS, ALAN S&S",11/89,11204BR,"50.00",11/15/89,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"681133","3371456"
6380Z,"DONIER, WAYNE",03/90,11204BR,"25.50",03/08/90,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"692142","3375033"
6382Z,EXXON CO USA,12/89,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"681584","3373188"
6278Z,CHEVRON,09/89,112SESC,"4.20",09/12/89,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"684584","3367756"
6279Z,CHEVRON,09/89,112SESC,"4.50",09/12/89,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"684584","3367756"
6280Z,CHEVRON,08/89,112SESC,"6.80",08/09/89,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"679386","3373829"
7949Z,U S ARMY-HEALTH,,112SESC,"4.24",02/18/94,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"685399","3373160"
7221Z,CHEVRON,12/93,112SESC,"2.45",12/09/93,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686692","3367792"
8326Z,EXXON CHEMICAL,07/99,112MRVAC,"2.00",08/17/99,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675111","3374252"
8328Z,EXXON CHEMICAL,07/99,112MRVAC,"2.00",08/17/99,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675085","3374190"
8329Z,EXXON CHEMICAL,07/99,112MRVAC,"3.00",08/17/99,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675057","3374282"
8330Z,EXXON CHEMICAL,07/99,112MRVAC,"4.00",08/17/99,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675164","3374253"
8331Z,EXXON CHEMICAL,07/99,112MRVAC,"1.00",08/17/99,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675325","3374194"
8332Z,EXXON CHEMICAL,07/99,112MRVAC,"5.00",08/17/99,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675218","3374223"
8333Z,EXXON CHEMICAL,08/99,112MRVAC,"10.00",08/23/99,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675067","3375329"
7521Z,CHEVRON,10/91,112SESC,"10.07",11/22/91,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686421","3371145"
7003Z,STAR ENTERPRISE,02/93,112SESC,"3.00",02/18/93,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686577","3368252"
6218Z,TEXACO,05/89,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"679542","3375649"
6219Z,TEXACO,05/89,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"679542","3375649"
6220Z,TEXACO,05/89,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"679542","3375649"
6221Z,TEXACO,05/89,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"679542","3375649"
6222Z,TEXACO,06/89,112SESC,"3.20",06/15/89,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"682849","3369329"
6338Z,BFI,10/89,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686751","3364375"
7129Z,EXXON CO USA,06/93,112SESC,"3.00",06/21/93,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"681584","3373188"
7222Z,CHEVRON EMC,12/93,112SESC,"2.53",12/09/93,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"685090","3370937"
6394Z,EXXON CHEMICAL,02/90,112MRVAC,"3.20",03/12/90,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675230","3375147"
6395Z,EXXON CHEMICAL,02/90,112MRVAC,"2.70",03/12/90,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675230","3375147"
6396Z,EXXON CHEMICAL,03/90,112MRVAC,"2.70",03/12/90,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675230","3375147"
6397Z,EXXON CHEMICAL,03/90,112MRVAC,"2.41",03/12/90,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675230","3375147"
6398Z,"ROLLINS, JIM",11/89,112SLBR,"25.00",11/17/89,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"691538","3360885"
5864Z,EXXON CO USA,09/91,112SESC,"7.50",09/04/91,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"679765","3370232"
5865Z,EXXON CO USA,09/91,112SESC,"4.00",09/18/91,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678737","3369476"
5866Z,EXXON CO USA,09/91,112SESC,"4.00",09/18/91,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678737","3369476"
5867Z,EXXON CO USA,09/91,112SESC,"4.50",09/18/91,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678737","3369476"
5868Z,EXXON CO USA,01/92,112SESC,"8.10",01/27/92,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678737","3369476"
5869Z,EXXON CO USA,12/91,112SESC,"6.00",12/04/91,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"681584","3373188"
5870Z,EXXON CO USA,12/91,112SESC,"6.00",12/04/91,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"681584","3373188"
5871Z,EXXON CO USA,12/91,112SESC,"6.00",12/04/91,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"681584","3373188"
5872Z,EXXON CO USA,01/92,112SESC,"6.60",01/22/92,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686591","3369023"
5873Z,EXXON CO USA,01/92,112SESC,"7.80",01/22/92,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686591","3369023"
6509Z,BFI,11/85,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686885","3364315"
8577Z,MURPHY OIL,06/01,112SESC,"9.70",07/16/01,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"685745","3368546"
8578Z,MURPHY OIL,06/01,112SESC,"11.20",07/16/01,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"685745","3368546"
6226Z,MOTIVA ENTERPRI,07/89,112SESC,"2.30",07/20/89,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686577","3368283"
6303Z,RACETRAC PETRO,10/89,112SESC,"11.00",10/24/89,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678876","3367538"
6304Z,RACETRAC PETRO,10/89,112SESC,"6.30",10/23/89,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678876","3367538"
8154Z,STAR ENTERPRISE,,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"690248","3372012"
8155Z,STAR ENTERPRISE,,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"690248","3372012"
8156Z,STAR ENTERPRISE,,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"690248","3372012"
8157Z,STAR ENTERPRISE,,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"690248","3372012"
7259Z,SOUTHLAND CORP,10/93,112SESC,"11.00",10/06/93,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678678","3371477"
6511Z,"LEBLANC, MRYTLE",06/90,11204BR,"37.00",06/22/90,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"690514","3365949"
6512Z,"DUHE, KEVIN",06/90,112SLBR,"21.00",06/13/90,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"690216","3361663"
8079Z,CHEVRON PRODUCT,09/98,112SESC,"10.00",09/19/98,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683917","3374028"
8080Z,CHEVRON PRODUCT,09/98,112SESC,"9.70",09/19/98,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683917","3374028"
8081Z,CHEVRON PRODUCT,09/98,112SESC,"11.80",09/19/98,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683917","3374028"
8082Z,CHEVRON PRODUCT,09/98,112SESC,"10.40",09/19/98,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683917","3374028"
8090Z,"HOPKINS, BLAKE",01/99,11206BR,"22.00",01/22/99,,,,,,600-FOOT SAND OF BATON ROUGE AREA,"687539","3363526"
8091Z,EXXON CHEMICAL,12/98,112MRVAC,"8.36",12/23/98,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675595","3374013"
7950Z,U S ARMY-HEALTH,,112SESC,"5.42",02/18/94,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686066","3373172"
7951Z,U S ARMY-HEALTH,,112SESC,"4.01",02/18/94,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686227","3373113"
7952Z,U S ARMY-HEALTH,,112SESC,"2.78",02/18/94,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686148","3373050"
7953Z,U S ARMY-HEALTH,,112SESC,"2.53",02/18/94,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686228","3373051"
8471Z,CHEVRON PRODUCT,07/00,112SESC,"11.90",08/14/00,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683917","3374059"
8472Z,CHEVRON PRODUCT,07/00,112SESC,"10.85",08/14/00,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683917","3374059"
8473Z,CHEVRON PRODUCT,07/00,112SESC,"11.75",08/14/00,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683917","3374059"
8474Z,CHEVRON PRODUCT,07/00,112SESC,"12.00",08/14/00,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683917","3374059"
8475Z,MURPHY OIL,09/00,112SESC,"14.83",10/02/00,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"685745","3368515"
8481Z,BOH BROS CONST,,11204BR,"0.00",,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"687914","3363502"
7522Z,CHEVRON,10/91,112SESC,"11.24",11/22/91,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686421","3371145"
7118Z,DIXIE ELECTRIC,10/92,112SESC,"1.40",10/23/92,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683824","3368483"
7120Z,DIXIE ELECTRIC,10/92,112SESC,"2.20",10/28/92,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683799","3368421"
5899Z,DIAMOND SHAMROC,06/92,112SESC,"0.10",07/06/92,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678677","3369906"
5900Z,DIAMOND SHAMROC,08/92,112SESC,"1.97",08/07/92,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678677","3369906"
5905Z,STAR ENTERPRISE,06/92,112SESC,"8.00",06/02/92,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"675551","3366837"
5906Z,DIAMOND SHAMROC,03/92,112SESC,"8.00",03/16/92,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678706","3369752"
7004Z,STAR ENTERPRISE,02/93,112SESC,"3.00",02/18/93,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686578","3368191"
7005Z,STAR ENTERPRISE,02/93,112SESC,"3.00",02/18/93,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686577","3368283"
6383Z,TEXACO,,112MRVAC,"0.00",,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"676017","3372634"
6384Z,TEXACO,,112MRVAC,"0.00",,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"676017","3372634"
6385Z,TEXACO,,112MRVAC,"0.00",,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"676017","3372634"
6386Z,TEXACO,,112MRVAC,"0.00",,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"676017","3372634"
6387Z,TEXACO,,112MRVAC,"0.00",,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"676017","3372634"
6390Z,EXXON CHEMICAL,03/90,112MRVAC,"0.00",,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675011","3375513"
6391Z,AIRLINE CAR WAS,,"11111111","0.00",,,,,,,[UNKNOWN],"687995","3363411"
6475Z,CHEVRON,12/85,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686425","3370899"
6476Z,CHEVRON,08/89,112SESC,"5.30",08/08/89,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686425","3370899"
7223Z,CHEVRON,12/93,112SESC,"1.62",12/10/93,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"685063","3370968"
7224Z,CHEVRON,11/93,112MRVAC,"2.01",12/07/93,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"678672","3366949"
5861Z,EXXON CO USA,09/91,112SESC,"8.00",09/04/91,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"679765","3370232"
5862Z,EXXON CO USA,09/91,112SESC,"8.00",09/04/91,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"679765","3370232"
5863Z,EXXON CO USA,09/91,112SESC,"7.50",09/04/91,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"679765","3370232"
6032Z,SOUTHLAND CORP,08/88,112SESC,"1.30",09/26/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"687828","3371539"
6033Z,SOUTHLAND CORP,08/88,112SESC,"2.00",09/26/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"687828","3371539"
6034Z,SOUTHLAND CORP,09/88,112SESC,"4.50",09/28/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"685099","3365732"
7523Z,CHEVRON,10/91,112SESC,"11.29",11/22/91,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686421","3371145"
7524Z,CHEVRON,10/91,112SESC,"11.30",11/22/91,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686421","3371145"
7525Z,CHEVRON,10/91,112SESC,"11.40",11/22/91,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686421","3371145"
7689Z,EXXON CHEMICAL,12/95,112SESC,"5.35",12/21/95,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"675389","3375211"
7690Z,EXXON CHEMICAL,12/95,112SESC,"5.02",12/21/95,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"675389","3375211"
8228Z,STAR ENTERPRISE,,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"685131","3374788"
8229Z,STAR ENTERPRISE,,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"685131","3374788"
7006Z,STAR ENTERPRISE,02/93,112SESC,"3.00",02/18/93,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686631","3368253"
7007Z,STAR ENTERPRISE,01/93,112SESC,"2.00",01/22/93,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678903","3367538"
6307Z,CIRCLE K,10/89,112SESC,"1.91",10/03/89,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"688993","3365953"
6308Z,CIRCLE K,10/89,112SESC,"2.52",10/05/89,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"688993","3365953"
6477Z,CHEVRON,08/89,112SESC,"5.30",08/08/89,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686425","3370899"
6478Z,EXXON CHEMICAL,11/90,112MRVAC,"5.36",12/03/90,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675952","3375005"
8003Z,BR COUNTRY CLUB,02/98,11200NWM,"0.00",,,,,,,[NO WELL MADE],"682701","3367016"
6035Z,SOUTHLAND CORP,09/88,112SESC,"4.50",09/28/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"685099","3365732"
6038Z,SOUTHLAND CORP,08/88,112SESC,"6.63",10/06/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678898","3369448"
6039Z,SOUTHLAND CORP,08/88,112SESC,"6.12",10/06/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678898","3369448"
6040Z,SOUTHLAND CORP,08/88,112SESC,"3.00",09/28/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683321","3366657"
6041Z,SOUTHLAND CORP,08/88,112SESC,"2.00",09/28/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683321","3366657"
6042Z,SOUTHLAND CORP,08/88,112SESC,"3.50",09/26/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"687736","3369166"
6043Z,SOUTHLAND CORP,08/88,112SESC,"5.00",09/26/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"687736","3369166"
6046Z,SOUTHLAND CORP,07/88,112SESC,"2.50",09/22/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"680633","3375790"
5956Z,SOUTHLAND CORP,08/88,112SESC,"2.00",09/26/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"680073","3372578"
5957Z,SOUTHLAND CORP,08/88,112SESC,"2.00",09/26/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"680073","3372578"
5958Z,SOUTHLAND CORP,08/88,112SESC,"12.00",09/27/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"691193","3371382"
5959Z,SOUTHLAND CORP,08/88,112SESC,"1.50",09/27/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"691193","3371382"
5960Z,SOUTHLAND CORP,08/88,112MRVAC,"3.00",10/03/88,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"680279","3360200"
5961Z,SOUTHLAND CORP,08/88,112MRVAC,"5.00",10/03/88,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"680279","3360200"
5962Z,SOUTHLAND CORP,08/88,112MRVAC,"5.00",10/03/88,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"680279","3360200"
5963Z,SOUTHLAND CORP,08/88,112MRVAC,"3.00",10/03/88,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"680279","3360200"
8230Z,STAR ENTERPRISE,,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"685131","3374788"
8231Z,"FREEMAN, THOMAS",10/98,11204BR,"39.00",10/19/98,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"691572","3366553"
8414Z,CRACKER BARREL,06/00,112SESC,"10.50",05/22/00,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"680686","3359806"
8415Z,CRACKER BARREL,06/00,112SESC,"15.00",05/23/00,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"680686","3359806"
8416Z,CRACKER BARREL,06/00,112SESC,"15.00",05/25/00,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"680686","3359806"
8417Z,CRACKER BARREL,06/00,112SESC,"13.00",05/24/00,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"680605","3359836"
8418Z,CRACKER BARREL,06/00,112SESC,"8.00",05/25/00,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"680686","3359806"
8419Z,CRACKER BARREL,06/00,112SESC,"13.00",05/24/00,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"680605","3359836"
8420Z,CRACKER BARREL,06/00,112SESC,"9.00",05/24/00,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"680605","3359836"
8421Z,CRACKER BARREL,06/00,112SESC,"18.00",05/23/00,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"680686","3359806"
8422Z,CRACKER BARREL,06/00,112SESC,"9.00",05/25/00,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"680605","3359836"
8423Z,CRACKER BARREL,06/00,112SESC,"10.00",05/24/00,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"680605","3359836"
8424Z,CRACKER BARREL,06/00,112SESC,"9.50",05/26/00,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"680605","3359836"
7415Z,STAR ENTERPRISE,06/94,112SESC,"6.00",06/30/94,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"688627","3371645"
